Perkataan,Asal,Petunjuk,Sebab
سَمَاءٌ,سَمَاوٌ,سَمَا - يَسْمُو - سُمُوٌّ,إبدال الواو همزة (التطرف حقيقة)
كِسَاءٌ,كِسَاوٌ,كَسَا - يَكْسُو (مضارع),إبدال الواو همزة (التطرف حقيقة)
أَعْدَاءٌ,أَعْدَاوٌ,عَدُوٌّ (مفرد),إبدال الواو همزة (التطرف حقيقة)
رِضَاءٌ,رِضَاوٌ,رَضِيَ - يَرْضَى - رِضْوَانٌ,إبدال الواو همزة (التطرف حقيقة)
عَلَاءٌ,عَلَاوٌ,عَلَا - يَعْلُو (مضارع),إبدال الواو همزة (التطرف حقيقة)
غَلَاءٌ,غَلَاوٌ,غَلَا - يَعْلُو (مضارع),إبدال الواو همزة (التطرف حقيقة)
غِذَاءٌ,غِذَاوٌ,غَذَا - يَغْذُو (مضارع),إبدال الواو همزة (التطرف حقيقة)
نَمَاءٌ,نَمَاوٌ,نَمَا - يَنْمُو (مضارع),إبدال الواو همزة (التطرف حقيقة)
بَلَاءٌ,بَلَاوٌ,بَلَا - يَبْلُو (مضارع),إبدال الواو همزة (التطرف حقيقة)
غَزَّائِينَ,غَزَّاوِينَ,غَزَا - يَغْزُو (مضارع),إبدال الواو همزة (التطرف حكماً)
عَدَّائِينَ,عَدَّاوِينَ,عَدَا - يَعْدُو (مضارع),إبدال الواو همزة (التطرف حكماً)
اِصْطِفَاءَاتٌ,اِصْطِفَاوَاتٌ,صَفَا - يَصْفُو (مضارع),إبدال الواو همزة (التطرف حكماً)
إِصْغَاءَاتٌ,إِصْغَاوَاتٌ,صَغَا - يَصْغُو (مضارع),إبدال الواو همزة (التطرف حكماً)
بِنَاءٌ,بِنَايٌ,بَنَى - يَبْنِي (مضارع),إبدال الياء همزة (التطرف حقيقة)
قَضَاءٌ,قَضَايٌ,قَضَى - يَقْضِي (مضارع),إبدال الياء همزة (التطرف حقيقة)
بُكَاءٌ,بُكَايٌ,بَكَى - يَبْكِي (مضارع),إبدال الياء همزة (التطرف حقيقة)
شِفَاءٌ,شِفَايٌ,شَفَى - يَشْفِي (مضارع),إبدال الياء همزة (التطرف حقيقة)
ثَنَاءٌ,ثَنَايٌ,ثَنَى - يَثْنِي (مضارع),إبدال الياء همزة (التطرف حقيقة)
هِدَاءٌ,هِدَايٌ,هَدَى - يَهْدِي (مضارع),إبدال الياء همزة (التطرف حقيقة)
رِثَاءٌ,رِثَايٌ,رَثَى - يَرْثِي (مضارع),إبدال الياء همزة (التطرف حقيقة)
سَقَّاءٌ,سَقَّايٌ,سَقَى - يَسْقِي (مضارع),إبدال الياء همزة (التطرف حقيقة)
سَقَّاءَةٌ,سَقَّايَةٌ,سَقَى - يَسْقِي (مضارع),إبدال الياء همزة (التطرف حكماً)
بَنَّاؤُونَ,بَنَّايُونَ,بَنَى - يَبْنِي (مضارع),إبدال الياء همزة (التطرف حكماً)
مَشَّاءَاتٌ,مَشَّايَاتٌ,مَشَى - يَمْشِي (مضارع),إبدال الياء همزة (التطرف حكماً)
حَمْرَاءُ,حَمْرَاا,من حَمْرَى بألف مقصورة,إبدال الألف همزة
صَفْرَاءُ,صَفْرَاا,من صَفْرَى بألف مقصورة,إبدال الألف همزة
خَضْرَاءُ,خَضْرَاا,من خَضْرَى بألف مقصورة,إبدال الألف همزة
صَحْرَاءُ,صَحْرَاا,من صَحْرَى بألف مقصورة,إبدال الألف همزة
حَسْنَاءُ,حَسْنَاا,من حَسْنَى بألف مقصورة,إبدال الألف همزة
جَرْدَاءُ,جَرْدَاا,من جَرْدَى بألف مقصورة,إبدال الألف همزة
بَيْدَاءُ,بَيْدَاا,من بَيْدَى بألف مقصورة,إبدال الألف همزة
سَمْرَاءُ,سَمْرَاا,من سَمْرَى بألف مقصورة,إبدال الألف همزة
عِجَائِزُ,عَجَاوِزُ,عَجُوزٌ (مفرد),إبدال الواو همزة
حَلَائِبُ,حَلَاوِبُ,حَلُوبَةٌ (مفرد),إبدال الواو همزة
عَرَائِسُ,عَرَاوِسُ,عَرُوسٌ (مفرد),إبدال الواو همزة
فَرَائِضُ,فَرَايِضُ,فَرِيضَةٌ (مفرد),إبدال الياء همزة
شَعَائِرُ,شَعَايِرُ,شَعِيرَةٌ (مفرد),إبدال الياء همزة
قَصَائِدُ,قَصَايِدُ,قَصِيدَةٌ (مفرد),إبدال الياء همزة
صَحَائِفُ,صَحَايِفُ,صَحِيفَةٌ (مفرد),إبدال الياء همزة
رَسَائِلُ,رَسَاالُ,رِسَالَةٌ (مفرد),إبدال الألف همزة
حَمَائِمُ,حَمَاامُ,حَمَامَةٌ (مفرد),إبدال الألف همزة
قَلَائِدُ,قَلَاادُ,قِلَادَةٌ (مفرد),إبدال الألف همزة
سَحَائِبُ,سَحَاابُ,سَحَابَةٌ (مفرد),إبدال الألف همزة
قَائِدٌ,قَاوِدٌ,قَادَ - يَقُودُ (مضارع),إبدال الواو همزة
ثَائِرٌ,ثَاوِرٌ,ثَارَ - يَثُورُ (مضارع),إبدال الواو همزة
دَائِمٌ,دَاوِمٌ,دَامَ - يَدُومُ (مضارع),إبدال الواو همزة
خَائِفٌ,خَاوِفٌ,خَافَ - يَخَافُ (مضارع),إبدال الواو همزة
قَائِلٌ,قَاوِلٌ,قَالَ - يَقُولُ (مضارع),إبدال الواو همزة
عَائِذٌ,عَاوِذٌ,عَاذَ - يَعُوذُ (مضارع),إبدال الواو همزة
صَائِمٌ,صَاوِمٌ,صَامَ - يَصُومُ (مضارع),إبدال الواو همزة
جَائِزٌ,جَاوِزٌ,جَازَ - يَجُوزُ (مضارع),إبدال الواو همزة
خَائِبٌ,خَايِبٌ,خَابَ - يَخِيبُ (مضارع),إبدال الياء همزة
ضَائِقٌ,ضَايِقٌ,ضَاقَ - يَضِيقُ (مضارع),إبدال الياء همزة
بَائِعٌ,بَايِعٌ,بَاعَ - يَبِيعُ (مضارع),إبدال الياء همزة
مَائِلٌ,مَايِلٌ,مَالَ - يَمِيلُ (مضارع),إبدال الياء همزة
سَائِرٌ,سَايِرٌ,سَارَ - يَسِيرُ (مضارع),إبدال الياء همزة
دَائِنٌ,دَايِنٌ,دَانَ - يَدِينُ (مضارع),إبدال الياء همزة
أَوَائِلُ,أَوَاوِلُ,أَوَّلٌ (مفرد),إبدال الواو همزة
جَوَائِزُ,جَوَاوِزُ,جَائِزَةٌ (مفرد) / جَازَ - يَجُوزُ,إبدال الواو همزة
جَيَائِدُ,جَيَاوِدُ,جَيِّدٌ (مفرد) / جَادَ - يَجُودُ,إبدال الواو همزة
سَيَائِدُ,سَيَاوِدُ,سَيِّدٌ (مفرد) / سَادَ - يَسُودُ,إبدال الواو همزة
عَيَائِلُ,عَيَايِلُ,عَيِّلٌ (مفرد),إبدال الياء همزة
نَيَائِفُ,نَيَايِفُ,نَيِّفٌ (مفرد),إبدال الياء همزة
أُولَى,وُولَى,—,(١) إذا كانت الواو الثانية ساكنة أصلية
أُوَلُ,وُوَلُ,—,(٢) إذا كانت الواو الثانية متحرّكة أصلية
أَوَاصِلُ,وَوَاصِلُ,وَاصِلَة (مفرد),(٣) إذا كانت الواو الثانية متحرّكة منقلبة عن ألف زائدة
أَوَافِي,وَوَافِي,وَافِيَة (مفرد),(٣) إذا كانت الواو الثانية متحرّكة منقلبة عن ألف زائدة
أَوَاقِي,وَوَاقِي,وَاقِيَة (مفرد),(٣) إذا كانت الواو الثانية متحرّكة منقلبة عن ألف زائدة
أَوَاهِبُ,وَوَاهِبُ,وَاهِبَة (مفرد),(٣) إذا كانت الواو الثانية متحرّكة منقلبة عن ألف زائدة
أَوَاعِدُ,وَوَاعِدُ,وَاعِدَة (مفرد),(٣) إذا كانت الواو الثانية متحرّكة منقلبة عن ألف زائدة
أُوَيْصِلَةٌ,وُوَيْصِلَةٌ,تصغير من وَاصِلَة,(٣) إذا كانت الواو الثانية متحرّكة منقلبة عن ألف زائدة
أُوَيْفِيَةٌ,وُوَيْفِيَةٌ,تصغير من وَافِيَة,(٣) إذا كانت الواو الثانية متحرّكة منقلبة عن ألف زائدة
أُوَيْقِيَةٌ,وُوَيْقِيَةٌ,تصغير من وَاقِيَة,(٣) إذا كانت الواو الثانية متحرّكة منقلبة عن ألف زائدة
أُوفِيَ,وُوفِيَ,وَافَى (بناء للمعلوم),إذا كانت الواو الثانية ساكنة زائدة بالبناء للمجهول
أُورِيَ,وُورِيَ,وَارَى (بناء للمعلوم),إذا كانت الواو الثانية ساكنة زائدة بالبناء للمجهول
أُوصِلَ,وُوصِلَ,وَاصَلَ (بناء للمعلوم),إذا كانت الواو الثانية ساكنة زائدة بالبناء للمجهول
